Team,Games,Minutes Played,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Points
Atlanta Hawks,82,240.6,38.5,85.3,.451,1.6,5.2,.300,37.0,80.1,.461,24.2,31.7,.765,14.6,27.8,42.4,23.4,7.5,4.7,16.0,24.8,102.8
Chicago Bulls,82,241.8,40.7,84.3,.483,1.4,4.1,.341,39.3,80.2,.490,21.1,27.5,.769,12.5,28.3,40.8,24.7,7.1,6.0,15.5,22.5,103.9
Houston Rockets,82,241.2,40.8,88.1,.463,1.2,4.3,.282,39.6,83.8,.473,23.0,29.5,.779,14.2,28.8,43.1,25.9,8.8,4.5,16.7,23.4,105.9
Boston Celtics,82,241.5,42.3,91.5,.463,1.5,4.9,.306,40.8,86.5,.472,19.9,26.2,.758,15.1,27.9,43.0,25.1,8.8,4.1,14.1,23.3,106.0
Milwaukee Bucks,82,241.2,39.6,84.2,.470,1.5,5.1,.289,38.1,79.2,.482,25.8,34.1,.757,14.5,30.2,44.7,24.6,8.0,5.6,18.9,24.7,106.5
Philadelphia 76ers,82,242.4,43.1,87.9,.491,1.5,5.1,.286,41.7,82.8,.504,18.9,25.0,.757,14.8,26.9,41.7,26.9,9.9,5.4,16.7,24.2,106.6
Indiana Pacers,82,243.0,40.8,85.0,.480,1.3,4.2,.299,39.5,80.8,.489,23.9,31.5,.759,13.6,31.5,45.1,24.6,8.0,5.8,17.3,22.6,106.7
Washington Bullets,82,240.3,43.0,90.9,.473,1.3,4.4,.291,41.7,86.5,.482,20.2,26.6,.758,16.3,30.3,46.5,26.1,8.5,6.7,17.5,23.6,107.3
Utah Jazz,82,240.9,40.8,89.5,.456,1.7,5.5,.317,39.1,84.0,.465,24.1,31.3,.770,16.0,32.2,48.1,24.5,8.8,5.6,19.3,24.3,107.5
Detroit Pistons,82,241.8,41.2,89.1,.462,1.6,5.1,.317,39.5,84.0,.471,23.8,31.8,.748,13.9,28.5,42.5,24.7,8.2,5.8,15.8,25.2,107.8
Cleveland Cavaliers,82,240.9,43.4,90.7,.478,1.2,4.2,.278,42.2,86.6,.488,20.3,26.9,.753,15.3,29.2,44.5,25.1,9.9,5.8,17.0,25.3,108.2
Los Angeles Lakers,82,240.6,42.9,91.8,.467,1.5,5.3,.283,41.4,86.6,.479,21.1,27.6,.764,15.6,26.5,42.1,27.0,8.8,4.9,16.7,24.4,108.5
New York Knicks,82,241.2,42.7,87.1,.490,1.1,4.4,.263,41.5,82.7,.502,23.5,30.9,.761,16.2,29.9,46.1,26.2,9.3,4.9,17.3,23.8,110.0
Dallas Mavericks,82,242.4,43.7,91.5,.478,1.6,5.3,.295,42.2,86.2,.489,21.3,28.0,.763,15.3,29.1,44.4,28.1,7.0,5.1,16.2,26.0,110.4
Seattle SuperSonics,82,242.1,42.9,89.4,.479,1.1,4.0,.287,41.7,85.4,.488,26.4,34.4,.768,15.1,27.8,42.9,24.7,8.9,5.0,16.4,24.7,113.3
San Antonio Spurs,82,241.5,45.2,89.1,.507,1.3,4.6,.280,43.9,84.5,.519,21.8,28.8,.755,13.4,30.0,43.4,29.0,8.5,5.6,17.3,22.5,113.4
New Jersey Nets,82,242.1,41.7,86.9,.480,1.4,4.5,.322,40.2,82.4,.488,28.7,36.8,.780,13.8,28.7,42.5,23.9,9.9,6.9,16.5,25.9,113.5
Phoenix Suns,82,242.1,44.2,89.5,.494,1.5,4.8,.311,42.7,84.6,.504,23.7,31.3,.756,15.1,28.7,43.8,27.4,9.7,5.3,17.4,24.8,113.5
Sacramento Kings,82,241.2,44.6,91.1,.489,1.5,4.8,.316,43.1,86.3,.499,23.4,30.5,.769,14.1,28.7,42.9,26.3,8.6,5.9,14.8,25.2,114.1
Golden State Warriors,82,242.7,44.1,89.5,.493,1.9,5.6,.337,42.2,83.9,.503,24.3,32.5,.749,15.2,30.3,45.5,26.5,8.4,5.5,17.2,25.0,114.4
Portland Trail Blazers,82,241.5,44.5,91.7,.485,1.4,5.1,.276,43.1,86.6,.497,24.3,31.6,.771,14.7,27.8,42.5,26.7,9.0,5.8,18.3,27.2,114.8
Los Angeles Clippers,82,241.2,45.8,88.5,.518,1.3,3.9,.344,44.5,84.6,.526,22.9,30.7,.746,14.5,32.2,46.7,29.5,9.8,6.5,18.7,24.6,115.9
Denver Nuggets,82,241.2,44.3,89.5,.495,1.4,4.4,.313,43.0,85.1,.505,27.5,35.4,.777,14.2,33.2,47.4,26.7,6.8,5.5,19.1,26.2,117.6
