Team,Games,Minutes Played,Field Goal Percentage,Average distance (ft.) of FGA,% of FGAs that are 2-Pt FGAs.,% of FGAs that are 0-3 feet from the basket.,% of FGAs that are 3-10 feet from the basket.,% of FGAs that are 10-16 feet from the basket.,% of FGAs that are 2-Pt shotsand 16+ feet from the basket.,% of FGAs that are 3-Pt FGAs.,2-Point Field Goal Percentage,FG% on FGAs that are 0-3 feet from the basket.,FG% on FGAs that are 3-10 feet from the basket.,FG% on FGAs that are 10-16 feet from the basket.,FG% on 2-Pt FGAs that are 16+ feet from the basket.,3-Point Field Goal Percentage,% of 2-Pt FGs that are assisted.,% of all FGAs that are dunk attempts.,FGs that are dunks.,% of all team FGAs that are layup attempts.,Team FGs that are layups.,% of 3-Pt FGs that are assisted.,% of 3PAs from the corner.,3P% on 3PAs from the corner.,Heave attempts (beyond half-court),Heaves made (beyond half-court)
Atlanta Hawks,82,19905,.433,11.7,.809,.303,.148,.153,.205,.191,.456,.577,.371,.363,.409,.335,.537,.045,289,.232,767,.845,.292,.370,2,0
Boston Celtics,82,19705,.443,13.0,.751,.285,.126,.118,.222,.249,.475,.608,.350,.394,.420,.346,.524,.048,284,.227,764,.875,.259,.394,10,0
Chicago Bulls,82,19830,.414,12.4,.814,.283,.130,.142,.259,.186,.431,.537,.385,.349,.383,.342,.614,.045,283,.217,665,.790,.214,.349,10,1
Cleveland Cavaliers,82,19855,.433,10.6,.884,.318,.173,.196,.197,.116,.448,.586,.355,.387,.368,.314,.595,.051,322,.220,768,.879,.290,.338,13,0
Dallas Mavericks,82,19805,.459,12.1,.799,.290,.159,.129,.219,.201,.488,.619,.414,.428,.402,.348,.548,.024,163,.243,1021,.828,.168,.373,18,0
Denver Nuggets,82,19730,.443,11.3,.854,.345,.111,.127,.272,.146,.461,.597,.365,.377,.365,.336,.574,.070,425,.242,868,.801,.192,.381,10,0
Detroit Pistons,82,19780,.435,10.7,.847,.340,.153,.175,.179,.153,.452,.566,.356,.393,.374,.344,.592,.053,299,.259,822,.817,.257,.394,7,0
Golden State Warriors,82,19855,.442,11.9,.803,.272,.196,.117,.218,.197,.468,.654,.358,.346,.399,.334,.526,.045,270,.202,794,.918,.254,.356,17,1
Houston Rockets,82,19930,.442,12.7,.773,.268,.153,.141,.211,.227,.464,.596,.383,.402,.398,.366,.512,.054,289,.203,658,.854,.315,.384,16,0
Indiana Pacers,82,19805,.435,12.1,.797,.288,.156,.157,.196,.203,.457,.589,.366,.368,.407,.351,.600,.052,301,.215,668,.871,.330,.383,8,0
Los Angeles Clippers,82,19805,.428,11.0,.844,.341,.155,.130,.218,.156,.448,.574,.398,.341,.351,.321,.550,.046,283,.263,879,.866,.135,.312,11,0
Los Angeles Lakers,82,19855,.454,11.5,.833,.326,.143,.126,.238,.167,.479,.632,.392,.369,.379,.327,.608,.054,333,.250,959,.901,.239,.322,16,1
Memphis Grizzlies,82,19880,.445,11.1,.803,.342,.170,.101,.190,.197,.471,.596,.393,.346,.381,.340,.609,.065,384,.252,899,.857,.277,.330,20,2
Miami Heat,82,19755,.425,12.3,.789,.297,.143,.117,.231,.211,.443,.562,.394,.323,.382,.357,.505,.038,211,.232,758,.889,.228,.427,19,0
Milwaukee Bucks,82,19780,.447,11.2,.828,.320,.152,.176,.179,.172,.467,.578,.424,.384,.385,.350,.588,.054,325,.245,835,.903,.261,.328,9,0
Minnesota Timberwolves,82,19755,.462,13.0,.863,.206,.147,.210,.301,.137,.477,.620,.440,.431,.429,.363,.591,.030,191,.153,564,.890,.259,.397,13,0
New Jersey Nets,82,19705,.441,11.9,.824,.332,.111,.113,.268,.176,.464,.609,.342,.357,.381,.336,.687,.067,394,.230,785,.889,.185,.409,16,2
New Orleans Hornets,82,19830,.420,12.8,.748,.294,.115,.131,.209,.252,.454,.568,.363,.377,.391,.319,.591,.044,263,.229,770,.738,.232,.331,12,1
New York Knicks,82,19880,.442,12.2,.829,.259,.156,.177,.237,.171,.459,.568,.419,.418,.395,.364,.548,.022,134,.213,725,.835,.271,.384,12,0
Orlando Magic,82,19830,.429,12.8,.816,.260,.138,.145,.273,.184,.448,.551,.402,.395,.403,.344,.504,.036,219,.197,657,.786,.190,.376,4,0
Philadelphia 76ers,82,19855,.428,11.3,.842,.319,.132,.174,.216,.158,.445,.562,.370,.360,.385,.342,.567,.043,239,.252,769,.920,.316,.383,7,0
Phoenix Suns,82,19730,.443,11.4,.820,.327,.137,.146,.210,.180,.465,.587,.441,.350,.371,.345,.482,.057,343,.247,860,.870,.337,.407,14,0
Portland Trail Blazers,82,19980,.448,11.5,.830,.300,.171,.141,.218,.170,.469,.597,.410,.415,.375,.346,.571,.055,339,.219,722,.866,.188,.362,10,0
Sacramento Kings,82,19780,.462,13.0,.777,.277,.128,.089,.284,.223,.480,.636,.340,.383,.421,.401,.653,.035,220,.226,908,.862,.307,.422,12,0
San Antonio Spurs,82,19755,.442,11.6,.823,.282,.197,.144,.200,.177,.460,.623,.373,.383,.371,.358,.543,.039,228,.234,856,.868,.363,.394,12,0
Seattle SuperSonics,82,19805,.446,13.5,.706,.245,.158,.121,.182,.294,.476,.655,.377,.389,.380,.373,.519,.052,305,.179,698,.876,.272,.408,19,0
Toronto Raptors,82,19980,.418,13.1,.796,.252,.123,.155,.267,.204,.434,.575,.398,.346,.368,.356,.519,.041,238,.177,553,.944,.451,.405,8,0
Utah Jazz,82,19780,.436,11.5,.873,.357,.085,.104,.327,.127,.453,.555,.353,.357,.397,.321,.598,.041,232,.284,889,.845,.229,.361,8,0
Washington Wizards,82,19830,.421,11.9,.806,.290,.180,.123,.213,.194,.440,.618,.317,.340,.358,.341,.511,.053,325,.225,806,.808,.214,.371,4,0
