Team,Games,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Denver Nuggets,82,243.4,46.1,97.1,.475,0.4,1.8,.207,45.8,95.3,.480,29.1,37.2,.783,16.2,30.5,46.6,24.8,8.8,4.6,17.6,25.7,121.8
Milwaukee Bucks,82,240.9,45.4,91.1,.498,0.4,1.6,.229,45.0,89.5,.503,22.0,28.5,.770,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1
San Antonio Spurs,82,241.5,43.5,88.7,.491,0.2,1.0,.176,43.4,87.7,.495,25.0,32.5,.769,15.9,31.5,47.4,25.0,8.4,7.8,18.7,25.8,112.3
Philadelphia 76ers,82,242.1,44.3,86.3,.514,0.2,1.0,.226,44.1,85.2,.518,22.7,29.6,.768,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7
Los Angeles Lakers,82,241.5,46.1,90.0,.512,0.2,1.1,.181,45.9,88.9,.516,18.8,25.8,.729,14.2,30.4,44.6,28.8,9.9,6.7,19.0,23.8,111.2
Portland Trail Blazers,82,242.1,45.6,91.9,.496,0.3,1.8,.169,45.3,90.1,.503,19.2,26.7,.718,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7
Phoenix Suns,82,240.9,43.7,89.3,.490,0.4,2.0,.217,43.3,87.4,.496,22.1,29.6,.745,15.0,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110.0
Boston Celtics,82,241.2,43.7,86.6,.504,0.8,2.9,.270,42.9,83.6,.513,21.7,28.9,.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9
Golden State Warriors,82,240.6,43.4,88.8,.489,0.7,2.6,.286,42.7,86.3,.495,22.3,30.6,.727,17.1,28.9,46.0,24.7,7.5,3.7,18.9,26.3,109.8
Chicago Bulls,82,241.2,42.2,84.2,.501,0.5,2.2,.212,41.7,82.0,.508,24.2,31.3,.774,15.0,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109.0
Houston Rockets,82,241.5,43.6,89.5,.487,0.3,1.4,.178,43.3,88.0,.492,20.9,27.1,.770,14.8,28.6,43.5,25.6,8.6,4.8,17.7,23.2,108.3
New York Knicks,82,241.8,42.7,88.5,.483,0.7,2.9,.237,42.1,85.6,.491,21.7,29.1,.747,13.9,26.9,40.8,24.1,10.5,3.8,17.8,23.4,107.9
Indiana Pacers,82,240.6,42.6,88.4,.482,0.4,2.1,.178,42.2,86.3,.489,22.1,31.0,.715,16.2,27.6,43.8,25.5,10.2,5.9,18.2,24.5,107.6
Kansas City Kings,82,241.8,43.6,87.2,.500,0.6,2.0,.292,43.0,85.2,.505,19.2,26.9,.714,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9
New Jersey Nets,82,241.5,42.4,89.2,.475,0.4,1.7,.246,42.0,87.5,.480,21.7,28.9,.751,13.3,29.0,42.3,25.2,9.1,5.6,20.3,26.9,106.9
San Diego Clippers,82,240.6,42.4,88.8,.477,1.6,5.0,.324,40.8,83.9,.486,20.1,27.4,.735,14.3,26.1,40.4,25.6,9.3,3.6,17.2,25.3,106.5
Cleveland Cavaliers,82,241.2,43.4,92.8,.467,0.9,3.0,.289,42.5,89.8,.473,18.1,23.3,.778,15.3,27.4,42.7,24.5,7.7,3.9,17.0,24.3,105.7
Washington Bullets,82,241.2,43.3,91.7,.472,0.8,2.9,.270,42.5,88.7,.479,18.3,25.3,.723,14.1,30.9,45.0,26.2,7.8,4.8,17.3,23.1,105.6
Atlanta Hawks,82,243.0,40.1,83.7,.479,0.1,1.0,.122,40.0,82.7,.484,24.5,31.6,.777,14.6,27.1,41.8,22.5,9.1,5.7,19.6,27.8,104.9
Seattle SuperSonics,82,241.2,40.8,87.1,.468,0.4,1.4,.274,40.4,85.7,.471,22.1,29.0,.763,14.2,29.7,43.9,23.7,7.7,5.3,18.6,24.2,104.0
Dallas Mavericks,82,241.2,39.1,84.5,.462,0.6,2.0,.279,38.5,82.5,.467,22.8,30.3,.751,13.5,26.5,40.1,24.2,6.8,2.6,17.5,24.5,101.5
Utah Jazz,82,240.6,40.6,83.2,.488,0.5,2.0,.258,40.1,81.2,.494,19.5,25.4,.767,11.7,28.4,40.1,23.8,7.8,4.7,17.4,25.7,101.2
Detroit Pistons,82,240.9,39.5,85.2,.463,0.2,1.0,.155,39.3,84.2,.467,20.6,28.4,.725,14.6,25.7,40.4,22.2,10.8,6.0,21.5,25.9,99.7
