,BKN/NJN,NOK/NOP,LAC/SDC,VAN/MEM,WAS/WSH,CHA,OKC/SEA,KCK/SAC,UTA,DAL,MIA,NYK,POR,LAL,CLE,TOR,MIN,MIL,ATL,GSW,HOU,SAS,BOS,DEN,ORL,IND,PHX,CHI,DET,PHI
1980,0.285,,0.326,,0.307,,0.312,0.21899999999999997,0.319,,,0.22,0.19699999999999998,0.2,0.193,,,0.32299999999999995,0.17300000000000001,0.223,0.27399999999999997,0.252,0.384,0.325,,0.28,0.243,0.255,0.26,0.21600000000000003
1981,0.24600000000000002,,0.324,,0.27,,0.27399999999999997,0.292,0.258,0.27899999999999997,,0.237,0.16899999999999998,0.18100000000000002,0.289,,,0.22899999999999998,0.122,0.28600000000000003,0.17800000000000002,0.17600000000000002,0.27,0.207,,0.17800000000000002,0.217,0.212,0.155,0.226
1982,0.205,,0.293,,0.25,,0.248,0.2,0.22699999999999998,0.289,,0.271,0.207,0.138,0.182,,,0.299,0.21899999999999997,0.28,0.284,0.254,0.266,0.268,,0.326,0.31,0.254,0.244,0.295
1983,0.201,,0.244,,0.295,,0.21,0.237,0.24,0.23199999999999998,,0.252,0.233,0.10400000000000001,0.25,,,0.21899999999999997,0.239,0.22699999999999998,0.247,0.305,0.21,0.19,,0.212,0.253,0.215,0.265,0.22899999999999998
1984,0.21100000000000002,,0.188,,0.252,,0.193,0.275,0.319,0.228,,0.285,0.19399999999999998,0.257,0.262,,,0.254,0.217,0.243,0.195,0.3,0.24,0.302,,0.23199999999999998,0.254,0.171,0.22699999999999998,0.271
1985,0.23199999999999998,,0.298,,0.27399999999999997,,0.243,0.265,0.336,0.34299999999999997,,0.258,0.252,0.305,0.287,,,0.303,0.311,0.282,0.22,0.272,0.35600000000000004,0.311,,0.19399999999999998,0.28300000000000003,0.18,0.226,0.263
1986,0.201,,0.27899999999999997,,0.284,,0.263,0.22399999999999998,0.207,0.316,,0.34299999999999997,0.26899999999999996,0.337,0.33799999999999997,,,0.327,0.19899999999999998,0.313,0.27399999999999997,0.235,0.35100000000000003,0.233,,0.161,0.20800000000000002,0.278,0.302,0.228
1987,0.32299999999999995,,0.22399999999999998,,0.19699999999999998,,0.335,0.251,0.31,0.354,,0.33299999999999996,0.289,0.36700000000000005,0.24,,,0.32299999999999995,0.318,0.319,0.275,0.29,0.366,0.271,,0.297,0.242,0.261,0.231,0.259
1988,0.301,,0.249,,0.21,,0.34600000000000003,0.32,0.319,0.293,,0.316,0.308,0.297,0.37799999999999995,,,0.324,0.301,0.292,0.237,0.32299999999999995,0.384,0.342,,0.336,0.331,0.23,0.287,0.32299999999999995
1989,0.32899999999999996,,0.231,,0.214,0.312,0.379,0.373,0.3,0.31,0.326,0.337,0.335,0.34,0.359,,,0.316,0.27699999999999997,0.308,0.314,0.215,0.252,0.337,,0.32799999999999996,0.349,0.32799999999999996,0.3,0.316
1990,0.27699999999999997,,0.243,,0.188,0.336,0.355,0.33299999999999996,0.359,0.32299999999999995,0.293,0.332,0.336,0.36700000000000005,0.40700000000000003,,0.248,0.312,0.302,0.324,0.312,0.239,0.262,0.337,0.295,0.382,0.324,0.374,0.327,0.348
1991,0.275,,0.26,,0.19399999999999998,0.314,0.319,0.374,0.32299999999999995,0.322,0.302,0.332,0.377,0.304,0.33399999999999996,,0.28300000000000003,0.341,0.324,0.337,0.32,0.273,0.315,0.28300000000000003,0.358,0.332,0.319,0.366,0.298,0.316
1992,0.33399999999999996,,0.289,,0.272,0.317,0.317,0.353,0.345,0.336,0.342,0.325,0.344,0.267,0.35700000000000004,,0.32,0.369,0.313,0.33299999999999996,0.34299999999999997,0.292,0.306,0.301,0.324,0.354,0.381,0.304,0.314,0.33399999999999996
1993,0.318,,0.271,,0.301,0.326,0.35700000000000004,0.332,0.314,0.33799999999999997,0.354,0.32,0.326,0.299,0.381,,0.292,0.33299999999999996,0.355,0.35,0.361,0.341,0.287,0.304,0.35700000000000004,0.326,0.363,0.365,0.322,0.35100000000000003
1994,0.327,,0.303,,0.297,0.36700000000000005,0.335,0.353,0.32,0.312,0.33799999999999997,0.348,0.353,0.3,0.36200000000000004,,0.32899999999999996,0.325,0.32299999999999995,0.33899999999999997,0.33399999999999996,0.349,0.289,0.285,0.34700000000000003,0.368,0.33,0.354,0.344,0.33799999999999997
1995,0.319,,0.315,,0.34299999999999997,0.397,0.376,0.34600000000000003,0.376,0.322,0.369,0.368,0.365,0.35200000000000004,0.385,,0.313,0.366,0.341,0.341,0.368,0.375,0.368,0.35600000000000004,0.37,0.38,0.369,0.373,0.354,0.379
1996,0.335,,0.37,0.32899999999999996,0.40700000000000003,0.384,0.364,0.387,0.37200000000000005,0.36,0.379,0.377,0.353,0.35100000000000003,0.377,0.354,0.326,0.33799999999999997,0.355,0.373,0.36200000000000004,0.392,0.371,0.34600000000000003,0.37799999999999995,0.373,0.332,0.40299999999999997,0.40399999999999997,0.342
1997,0.353,,0.354,0.349,0.331,0.428,0.353,0.391,0.37,0.327,0.364,0.363,0.358,0.36700000000000005,0.376,0.363,0.33899999999999997,0.35200000000000004,0.359,0.353,0.365,0.32,0.35100000000000003,0.37200000000000005,0.341,0.381,0.369,0.373,0.38799999999999996,0.319
1998,0.331,,0.358,0.36200000000000004,0.33899999999999997,0.38299999999999995,0.396,0.35100000000000003,0.37200000000000005,0.35700000000000004,0.355,0.335,0.309,0.35100000000000003,0.37200000000000005,0.34299999999999997,0.34700000000000003,0.354,0.332,0.272,0.34299999999999997,0.35,0.332,0.32299999999999995,0.32299999999999995,0.39,0.35600000000000004,0.32299999999999995,0.312,0.3
1999,0.331,,0.32,0.327,0.309,0.365,0.344,0.308,0.361,0.33899999999999997,0.359,0.353,0.364,0.35200000000000004,0.341,0.341,0.298,0.373,0.306,0.287,0.368,0.33,0.36,0.32799999999999996,0.33,0.368,0.37200000000000005,0.289,0.365,0.264
2000,0.34700000000000003,,0.33899999999999997,0.361,0.376,0.33899999999999997,0.33899999999999997,0.322,0.385,0.391,0.371,0.375,0.361,0.32899999999999996,0.373,0.363,0.34600000000000003,0.369,0.317,0.32299999999999995,0.358,0.374,0.331,0.336,0.33799999999999997,0.392,0.368,0.32899999999999996,0.359,0.32299999999999995
2001,0.33299999999999996,,0.33899999999999997,0.34299999999999997,0.324,0.34600000000000003,0.39899999999999997,0.354,0.381,0.381,0.345,0.35100000000000003,0.349,0.344,0.33399999999999996,0.369,0.35700000000000004,0.379,0.35700000000000004,0.293,0.35700000000000004,0.40700000000000003,0.363,0.355,0.364,0.342,0.315,0.34600000000000003,0.35,0.326
2002,0.33799999999999997,,0.35600000000000004,0.307,0.38799999999999996,0.348,0.37799999999999995,0.36700000000000005,0.33299999999999996,0.37799999999999995,0.34700000000000003,0.353,0.354,0.354,0.377,0.349,0.37799999999999995,0.375,0.354,0.322,0.335,0.36200000000000004,0.359,0.32899999999999996,0.373,0.33899999999999997,0.327,0.34600000000000003,0.376,0.299
2003,0.332,0.376,0.331,0.365,0.312,,0.353,0.381,0.349,0.381,0.316,0.38299999999999995,0.33,0.35600000000000004,0.327,0.34299999999999997,0.368,0.38299999999999995,0.35200000000000004,0.344,0.34600000000000003,0.354,0.33399999999999996,0.278,0.35700000000000004,0.33899999999999997,0.34299999999999997,0.35,0.358,0.311
2004,0.336,0.319,0.321,0.34,0.341,,0.373,0.401,0.321,0.348,0.35700000000000004,0.364,0.34600000000000003,0.327,0.314,0.35600000000000004,0.363,0.35,0.335,0.33399999999999996,0.366,0.358,0.34600000000000003,0.336,0.344,0.35100000000000003,0.345,0.342,0.344,0.342
2005,0.36200000000000004,0.315,0.345,0.35700000000000004,0.34299999999999997,0.363,0.365,0.374,0.32799999999999996,0.364,0.377,0.35600000000000004,0.36200000000000004,0.355,0.332,0.385,0.345,0.35100000000000003,0.312,0.35200000000000004,0.364,0.363,0.349,0.34,0.349,0.344,0.39299999999999996,0.35700000000000004,0.345,0.348
2006,0.33,0.33899999999999997,0.344,0.374,0.35700000000000004,0.33899999999999997,0.371,0.35100000000000003,0.336,0.374,0.345,0.36200000000000004,0.349,0.349,0.33899999999999997,0.375,0.32899999999999996,0.38,0.36700000000000005,0.341,0.332,0.385,0.36200000000000004,0.325,0.376,0.349,0.39899999999999997,0.379,0.384,0.364
2007,0.363,0.36200000000000004,0.348,0.36700000000000005,0.348,0.35700000000000004,0.36200000000000004,0.35,0.335,0.381,0.34299999999999997,0.34600000000000003,0.34600000000000003,0.353,0.35200000000000004,0.363,0.353,0.35600000000000004,0.32899999999999996,0.35600000000000004,0.37200000000000005,0.381,0.36700000000000005,0.336,0.35600000000000004,0.34600000000000003,0.39899999999999997,0.38799999999999996,0.344,0.345
2008,0.348,0.389,0.324,0.349,0.35600000000000004,0.36700000000000005,0.33299999999999996,0.373,0.37200000000000005,0.35200000000000004,0.358,0.337,0.377,0.37799999999999995,0.358,0.392,0.35,0.344,0.35600000000000004,0.348,0.342,0.369,0.381,0.355,0.386,0.374,0.39299999999999996,0.363,0.366,0.317
2009,0.376,0.364,0.354,0.36,0.33,0.366,0.34600000000000003,0.368,0.349,0.35,0.35700000000000004,0.36,0.38299999999999995,0.361,0.39299999999999996,0.37200000000000005,0.353,0.363,0.366,0.373,0.375,0.386,0.397,0.371,0.381,0.37799999999999995,0.38299999999999995,0.381,0.349,0.318
2010,0.318,0.363,0.332,0.337,0.353,0.34600000000000003,0.34,0.349,0.364,0.37200000000000005,0.34600000000000003,0.34600000000000003,0.354,0.341,0.381,0.371,0.341,0.35600000000000004,0.36,0.375,0.35100000000000003,0.358,0.348,0.359,0.375,0.348,0.41200000000000003,0.33,0.314,0.34299999999999997
2011,0.34299999999999997,0.36,0.33799999999999997,0.33399999999999996,0.332,0.327,0.34700000000000003,0.335,0.34600000000000003,0.365,0.37,0.368,0.345,0.35200000000000004,0.342,0.316,0.376,0.342,0.35200000000000004,0.392,0.36700000000000005,0.397,0.365,0.38799999999999996,0.366,0.354,0.377,0.361,0.376,0.355
2012,0.342,0.33299999999999996,0.35700000000000004,0.326,0.32,0.295,0.358,0.316,0.32299999999999995,0.33899999999999997,0.359,0.336,0.34600000000000003,0.326,0.34600000000000003,0.34,0.332,0.345,0.37,0.38799999999999996,0.359,0.39299999999999996,0.36700000000000005,0.332,0.375,0.368,0.34299999999999997,0.375,0.34600000000000003,0.36200000000000004
2013,0.35700000000000004,0.363,0.358,0.345,0.365,0.335,0.377,0.363,0.366,0.37200000000000005,0.396,0.376,0.353,0.355,0.34600000000000003,0.34299999999999997,0.305,0.36,0.371,0.40299999999999997,0.366,0.376,0.358,0.34299999999999997,0.32899999999999996,0.34700000000000003,0.33,0.353,0.35600000000000004,0.36
2014,0.369,0.373,0.35200000000000004,0.353,0.38,0.35100000000000003,0.361,0.33299999999999996,0.344,0.384,0.364,0.37200000000000005,0.37200000000000005,0.381,0.35600000000000004,0.37200000000000005,0.341,0.353,0.363,0.38,0.358,0.397,0.33299999999999996,0.358,0.353,0.35700000000000004,0.37200000000000005,0.348,0.321,0.312
2015,0.331,0.37,0.376,0.33899999999999997,0.36,0.318,0.33899999999999997,0.341,0.34299999999999997,0.35200000000000004,0.335,0.34700000000000003,0.36200000000000004,0.344,0.36700000000000005,0.35200000000000004,0.332,0.363,0.38,0.39799999999999996,0.348,0.36700000000000005,0.327,0.325,0.34700000000000003,0.35200000000000004,0.341,0.353,0.344,0.32
2016,0.35200000000000004,0.36,0.364,0.331,0.358,0.36200000000000004,0.349,0.359,0.355,0.344,0.336,0.34600000000000003,0.37,0.317,0.36200000000000004,0.37,0.33799999999999997,0.345,0.35,0.41600000000000004,0.34700000000000003,0.375,0.335,0.33799999999999997,0.35,0.35100000000000003,0.348,0.371,0.345,0.33899999999999997
