Atlanta Hawks,ATL
Boston Celtics,BOS
Brooklyn Nets,BKN/NJN
New Jersey Nets,BKN/NJN
Charlotte Bobcats,CHA
Charlotte Hornets,CHA
Chicago Bulls,CHI
Cleveland Cavaliers,CLE
Dallas Mavericks,DAL
Denver Nuggets,DEN
Detroit Pistons,DET
Golden State Warriors,GSW
Houston Rockets,HOU
Indiana Pacers,IND
San Diego Clippers,LAC/SDC
Los Angeles Clippers,LAC/SDC
Los Angeles Lakers,LAL
Vancouver Grizzlies,VAN/MEM
Memphis Grizzlies,VAN/MEM
Miami Heat,MIA
Milwaukee Bucks,MIL
Minnesota Timberwolves,MIN
New Orleans Hornets,NOK/NOP
New Orleans Pelicans,NOK/NOP
New Orleans/Oklahoma City Hornets,NOK/NOP
New York Knicks,NYK
Orlando Magic,ORL
Philadelphia 76ers,PHI
Phoenix Suns,PHX
Portland Trail Blazers,POR
Sacramento Kings,KCK/SAC
Kansas City Kings,KCK/SAC
San Antonio Spurs,SAS
Oklahoma City Thunder,OKC/SEA
Seattle SuperSonics,OKC/SEA
Toronto Raptors,TOR
Utah Jazz,UTA
Washington Bullets,WAS/WSH
Washington Wizards,WAS/WSH
